# WaniKani - Vocabulary
# Generated on May 29, 2016 06:49 AM UTC
# WaniKani to Anki Exporter (http://wanikanitoanki.com)
#key;type;character;meaning;image;onyomi;kunyomi;important_reading;kana;level
v_二;vocabulary;二;two;;;;;に;1
v_名人;vocabulary;名人;master, expert;;;;;めいじん;4
v_中毒;vocabulary;中毒;poisoning, addiction;;;;;ちゅうどく;15
v_六;vocabulary;六;six;;;;;ろく;2
v_猫舌;vocabulary;猫舌;aversion to hot foods;;;;;ねこじた;19
v_順位;vocabulary;順位;ranking, standing;;;;;じゅんい;19
v_下さい;vocabulary;下さい;please;;;;;ください;1
v_十;vocabulary;十;ten;;;;;じゅう;1
v_石;vocabulary;石;stone;;;;;いし;2
v_前回;vocabulary;前回;last time;;;;;ぜんかい;8
v_変死;vocabulary;変死;unnatural death, accidental death;;;;;へんし;15
v_細かい;vocabulary;細かい;detailed, small, fine, trivial;;;;;こまかい;19
v_五月;vocabulary;五月;may;;;;;ごがつ;2
v_天才;vocabulary;天才;genius;;;;;てんさい;2
v_矢;vocabulary;矢;arrow;;;;;や;3
v_文章;vocabulary;文章;article, sentence, composition;;;;;ぶんしょう;12
v_刀;vocabulary;刀;katana, sword;;;;;かたな;2
v_空港;vocabulary;空港;airport;;;;;くうこう;12
v_一億;vocabulary;一億;one hundred million;;;;;いちおく;13
v_易しい;vocabulary;易しい;easy, simple to do;;;;;やさしい;19
v_童話;vocabulary;童話;children's story, fairy tale;;;;;どうわ;12
v_王;vocabulary;王;king;;;;;おう;2
v_立つ;vocabulary;立つ;to stand;;;;;たつ;2
v_白;vocabulary;白;white;;;;;しろ;2
v_共同;vocabulary;共同;cooperation, collaboration;;;;;きょうどう;11
v_愛国心;vocabulary;愛国心;patriotism;;;;;あいこくしん;17
v_半分;vocabulary;半分;half;;;;;はんぶん;3
v_気;vocabulary;気;spirit, energy;;;;;き;4
v_友人;vocabulary;友人;friend;;;;;ゆうじん;3
v_方;vocabulary;方;way, direction;;;;;かた, ほう;3
v_広い;vocabulary;広い;wide;;;;;ひろい;3
v_今回;vocabulary;今回;this time;;;;;こんかい;5
v_春休み;vocabulary;春休み;spring break, spring vacation, spring holiday;;;;;はるやすみ;15
v_電子;vocabulary;電子;electron, electronic;;;;;でんし;8
v_耳;vocabulary;耳;ear;;;;;みみ;4
v_赤;vocabulary;赤;red;;;;;あか;4
v_色;vocabulary;色;color, colour;;;;;いろ;5
v_肉;vocabulary;肉;meat;;;;;にく;5
v_池;vocabulary;池;pond;;;;;いけ;5
v_大学;vocabulary;大学;university, college;;;;;だいがく;5
v_雨;vocabulary;雨;rain;;;;;あめ;5
v_無理;vocabulary;無理;impossible, unreasonable, overdoing;;;;;むり;17
v_草;vocabulary;草;grass;;;;;くさ;5
v_両日;vocabulary;両日;both days;;;;;りょうじつ;6
v_電話;vocabulary;電話;telephone, phone;;;;;でんわ;8
v_お願い;vocabulary;お願い;a request, request, wish, please;;;;;おねがい;15
v_禅僧;vocabulary;禅僧;zen priest;;;;;ぜんそう;18
v_土地;vocabulary;土地;land;;;;;とち;6
v_死亡;vocabulary;死亡;mortality, death;;;;;しぼう;6
v_顔面;vocabulary;顔面;face of a person, person's face, face;;;;;がんめん;16
v_首;vocabulary;首;neck;;;;;くび;6
v_姉妹;vocabulary;姉妹;sisters;;;;;しまい;6
v_死ぬ;vocabulary;死ぬ;to die;;;;;しぬ;6
v_羊毛;vocabulary;羊毛;wool;;;;;ようもう;6
v_午後;vocabulary;午後;pm, afternoon;;;;;ごご;6
v_科学;vocabulary;科学;science;;;;;かがく;6
v_お茶;vocabulary;お茶;tea;;;;;おちゃ;6
v_高校;vocabulary;高校;high school;;;;;こうこう;7
v_国民;vocabulary;国民;the people, citizens, nationality;;;;;こくみん;7
v_練習する;vocabulary;練習する;to practice;;;;;れんしゅうする;15
v_書き方;vocabulary;書き方;penmanship, way of writing, manner of writing;;;;;かきかた;18
